cve_ent,cve_mun,nom_mun,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
9,2,Azcapotzalco,"113,057","113,351","113,646","113,941","114,238","114,535","114,444.658","114,354.386","114,264.187","114,174.058",114084,"115,055.899","116,036.077","117,024.606","118,021.557",119027,"121,911.922","124,866.768","127,893.232","130,993.050",134168
9,3,Coyoacán,"168,486","169,063","169,642","170,223","170,806","171,391","171,858.443","172,327.161","172,797.158","173,268.436",173741,"176,186.387","178,666.193","181,180.902","183,731.005",186317,"187,345.580","188,379.839","189,419.808","190,465.517",191517
9,4,Cuajimalpa de Morelos,"34,540","36,076","37,681","39,358","41,108","42,937","43,615.420","44,304.559","45,004.587","45,715.676",46438,"48,119.706","49,862.313","51,668.027","53,539.134",55478,"56,435.942","57,410.425","58,401.735","59,410.161",60436
9,5,Gustavo A. Madero,"305,575","306,095","306,615","307,137","307,659","308,182","309,688.401","311,202.166","312,723.330","314,251.929",315788,"317,528.508","319,278.609","321,038.356","322,807.802",324587,"327,642.529","330,726.821","333,840.148","336,982.782",340155
9,6,Iztacalco,"102,998","103,078","103,158","103,238","103,319","103,399","103,040.523","102,683.289","102,327.293","101,972.532",101619,"103,275.132","104,958.254","106,668.807","108,407.237",110174,"111,643.475","113,132.549","114,641.484","116,170.545",117720
9,7,Iztapalapa,"422,495","428,115","433,810","439,581","445,428","451,353","451,831.783","452,311.074","452,790.874","453,271.182",453752,"461,841.008","470,074.219","478,454.202","486,983.575",495665,"497,392.911","499,126.845","500,866.824","502,612.869",504365
9,8,La Magdalena Contreras,"53,977","54,986","56,014","57,061","58,127","59,214","59,895.912","60,585.677","61,283.386","61,989.129",62703,"63,478.194","64,262.972","65,057.452","65,861.754",66676,"66,956.234","67,237.647","67,520.242","67,804.025",68089
9,9,Milpa Alta,"22,079","23,099","24,166","25,282","26,449","27,671","28,413.652","29,176.236","29,959.287","30,763.353",31589,"32,073.319","32,565.064","33,064.349","33,571.288",34086,"35,034.521","36,009.437","37,011.482","38,041.411",39100
9,10,Álvaro Obregón,"170,917","173,720","176,568","179,463","182,406","185,397","187,263.440","189,148.670","191,052.879","192,976.258",194919,"198,759.823","202,676.329","206,670.008","210,742.382",214895,"215,779.489","216,667.619","217,559.403","218,454.859",219354
9,11,Tláhuac,"71,968","74,451","77,020","79,678","82,428","85,272","86,249.912","87,239.038","88,239.508","89,251.451",90275,"91,138.906","92,011.080","92,891.600","93,780.547",94678,"97,011.503","99,402.520","101,852.467","104,362.798",106935
9,12,Tlalpan,"144,587","146,875","149,199","151,559","153,957","156,393","159,104.344","161,862.694","164,668.865","167,523.686",170428,"174,282.281","178,223.728","182,254.312","186,376.049",190591,"192,880.719","195,197.946","197,543.011","199,916.250",202318
9,13,Xochimilco,"85,971","87,876","89,823","91,814","93,848","95,928","96,945.390","97,973.569","99,012.654","100,062.758",101124,"102,324.363","103,538.974","104,768.003","106,011.620",107270,"109,170.084","111,103.825","113,071.818","115,074.671",117113
9,14,Benito Juárez,"115,864","116,097","116,330","116,563","116,797","117,032","119,985.334","123,013.197","126,117.469","129,300.077",132563,"137,593.793","142,815.505","148,235.383","153,860.946",159700,"162,844.321","166,050.551","169,319.908","172,653.635",176053
9,15,Cuauhtémoc,"151,036","151,608","152,182","152,759","153,337","153,918","156,683.426","159,498.539","162,364.230","165,281.409",168251,"172,052.126","175,939.127","179,913.942","183,978.557",188135,"189,772.448","191,424.147","193,090.222","194,770.797",196466
9,16,Miguel Hidalgo,"96,496","97,438","98,389","99,350","100,320","101,299","103,437.024","105,620.174","107,849.401","110,125.679",112450,"115,408.569","118,444.979","121,561.277","124,759.565",128042,"131,584.485","135,224.978","138,966.191","142,810.910",146762
9,17,Venustiano Carranza,"120,197","119,784","119,373","118,963","118,555","118,148","118,280.104","118,412.356","118,544.756","118,677.304",118810,"120,214.785","121,636.180","123,074.381","124,529.588",126002,"127,897.317","129,821.144","131,773.909","133,756.047",135768
