cve_ent,cve_mun,nom_mun,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
9,2,Azcapotzalco,103452,104156.98,104866.77,105581.4,106300.89,107025.29,107754.62,108488.93,109228.23,109972.58,110722,111393.21,112068.49,112747.87,113431.36,114119,114741.18,115366.75,115995.73,116628.14,117264,117614.5,117966.04,118318.64,118672.29,119027,121911.9223,124866.7681,127893.232,130993.05,134168
9,3,Coyoacán,143531,145544.87,147587,149657.78,151757.61,153886.91,156046.08,158235.55,160455.73,162707.07,164990,166640.26,168307.02,169990.45,171690.72,173408,174890.05,176384.77,177892.26,179412.63,180946,182007.67,183075.57,184149.73,185230.19,186317,187345.5804,188379.8391,189419.8076,190465.5173,191517
9,4,Cuajimalpa de Morelos,23448,24339.09,25264.05,26224.16,27220.75,28255.22,29329,30443.59,31600.54,32801.45,34048,35501.83,37017.74,38598.37,40246.5,41965,43089.5,44244.13,45429.7,46647.04,47897,49325.42,50796.44,52311.33,53871.4,55478,56435.94213,57410.42511,58401.73455,59410.16099,60436
9,5,Gustavo A. Madero,263319,266609.91,269941.96,273315.64,276731.49,280190.03,283691.79,287237.32,290827.16,294461.87,298142,299370.44,300603.93,301842.51,303086.19,304335,307550.53,310800.03,314083.87,317402.4,320756,321518.57,322282.94,323049.14,323817.16,324587,327642.5289,330726.8213,333840.148,336982.7823,340155
9,6,Iztacalco,93848,94408.02,94971.38,95538.11,96108.21,96681.72,97258.65,97839.02,98422.86,99010.18,99601,100209.71,100822.15,101438.33,102058.27,102682,103024.51,103368.16,103712.95,104058.9,104406,105534.92,106676.05,107829.52,108995.45,110174,111643.4747,113132.5488,114641.4839,116170.5448,117720
9,7,Iztapalapa,295760,305401.26,315356.82,325636.9,336252.1,347213.33,358531.89,370219.41,382287.92,394749.84,407618,414166.2,420819.6,427579.89,434448.77,441428,445225.88,449056.44,452919.96,456816.72,460747,467528.04,474408.88,481390.99,488475.86,495665,497392.9108,499126.8451,500866.8241,502612.8686,504365
9,8,La Magdalena Contreras,40300,41404.45,42539.16,43704.97,44902.73,46133.32,47397.63,48696.59,50031.15,51402.29,52811,53907.14,55026.04,56168.15,57333.98,58524,59443.26,60376.97,61325.34,62288.6,63267,63934.56,64609.17,65290.89,65979.81,66676,66956.23447,67237.64674,67520.24177,67804.02453,68089
9,9,Milpa Alta,12332,13040.64,13790.01,14582.44,15420.4,16306.52,17243.56,18234.44,19282.26,20390.29,21562,22530.75,23543.03,24600.78,25706.06,26861,27786.75,28744.41,29735.07,30759.88,31820,32260.82,32707.74,33160.85,33620.24,34086,35034.52093,36009.43662,37011.48157,38041.41072,39100
9,10,Álvaro Obregón,134613,137401.97,140248.73,143154.47,146120.41,149147.8,152237.92,155392.05,158611.54,161897.73,165252,168510.35,171832.94,175221.05,178675.96,182199,185241.1,188334,191478.54,194675.58,197926,201209.06,204546.58,207939.47,211388.63,214895,215779.489,216667.6185,217559.4035,218454.8589,219354
9,11,Tláhuac,39367,41728.11,44230.84,46883.67,49695.62,52676.21,55835.57,59184.42,62734.12,66496.73,70485,72956.32,75514.29,78161.94,80902.43,83739,85190.78,86667.73,88170.29,89698.89,91254,91928.75,92608.48,93293.25,93983.07,94678,97011.50339,99402.52002,101852.4674,104362.798,106935
9,12,Tlalpan,103961,107267.13,110678.39,114198.14,117829.82,121577,125443.34,129432.64,133548.81,137795.87,142178,144503.47,146866.98,149269.15,151710.61,154192,158341.38,162602.43,166978.15,171471.61,176086,178895.88,181750.6,184650.87,187597.43,190591,192880.7187,195197.9456,197543.0111,199916.2498,202318
9,13,Xochimilco,53051,55503.78,58069.97,60754.8,63563.77,66502.61,69577.32,72794.19,76159.79,79680.99,83365,85738.54,88179.66,90690.28,93272.38,95928,97260.47,98611.44,99981.18,101369.94,102778,103661.09,104551.77,105450.11,106356.16,107270,109170.0843,111103.825,113071.8183,115074.6708,117113
9,14,Benito Juárez,115433,115487.09,115541.2,115595.33,115649.5,115703.68,115757.9,115812.13,115866.4,115920.69,115975,117211.17,118460.51,119723.16,120999.28,122289,125857.38,129529.89,133309.57,137199.53,141203,144722.52,148329.77,152026.93,155816.24,159700,162844.3215,166050.5512,169319.9082,172653.6354,176053
9,15,Cuauhtémoc,159712,158755.95,157805.63,156861,155922.01,154988.66,154060.88,153138.66,152221.97,151310.76,150405,152370.36,154361.4,156378.46,158421.88,160492,163089.55,165729.13,168411.44,171137.16,173907,176663.8,179464.3,182309.2,185199.19,188135,189772.4475,191424.1467,193090.2216,194770.7973,196466
9,16,Miguel Hidalgo,99406,99143.2,98881.09,98619.67,98358.94,98098.91,97839.56,97580.89,97322.91,97065.62,96809,98597.3,100418.63,102273.61,104162.86,106087,108767.84,111516.43,114334.47,117223.73,120186,121717.66,123268.84,124839.79,126430.76,128042,131584.4846,135224.9776,138966.1906,142810.9102,146762
9,17,Venustiano Carranza,117877,117934.18,117991.38,118048.61,118105.87,118163.15,118220.47,118277.81,118335.18,118392.57,118450,118787.87,119126.7,119466.5,119807.26,120149,120777.98,121410.25,122045.84,122684.75,123327,123857.42,124390.12,124925.11,125462.4,126002,127897.3173,129821.1438,131773.9085,133756.0466,135768
