nom_mun,year,gen,pob
Álvaro Obregón,2010,Hombres,356540.9867
Álvaro Obregón,2010,Mujeres,389257.8576
Azcapotzalco,2010,Hombres,196053.9648
Azcapotzalco,2010,Mujeres,218059.5174
Benito Juárez,2010,Hombres,188831.0599
Benito Juárez,2010,Mujeres,222374.4027
Coyoacán,2010,Hombres,295675.9887
Coyoacán,2010,Mujeres,331447.6961
Cuajimalpa de Morelos,2010,Hombres,92692.28878
Cuajimalpa de Morelos,2010,Mujeres,100505.8568
Cuauhtémoc,2010,Hombres,255928.1487
Cuauhtémoc,2010,Mujeres,283092.4861
Gustavo A. Madero,2010,Hombres,572901.1724
Gustavo A. Madero,2010,Mujeres,615572.1531
Iztacalco,2010,Hombres,187730.9285
Iztacalco,2010,Mujeres,206703.8793
Iztapalapa,2010,Hombres,893641.6744
Iztapalapa,2010,Mujeres,939690.184
La Magdalena Contreras,2010,Hombres,116919.0325
La Magdalena Contreras,2010,Mujeres,125791.6185
Miguel Hidalgo,2010,Hombres,171929.5819
Miguel Hidalgo,2010,Mujeres,199642.3485
Milpa Alta,2010,Hombres,65777.32854
Milpa Alta,2010,Mujeres,68353.48111
Tláhuac,2010,Hombres,175837.1854
Tláhuac,2010,Mujeres,187732.632
Tlalpan,2010,Hombres,321344.7296
Tlalpan,2010,Mujeres,346860.9688
Venustiano Carranza,2010,Hombres,206798.8804
Venustiano Carranza,2010,Mujeres,230043.4408
Xochimilco,2010,Hombres,205971.0488
Xochimilco,2010,Mujeres,212168.4771
Álvaro Obregón,2015,Hombres,358767
Álvaro Obregón,2015,Mujeres,393418
Azcapotzalco,2015,Hombres,197278
Azcapotzalco,2015,Mujeres,220390
Benito Juárez,2015,Hombres,190010
Benito Juárez,2015,Mujeres,224751
Coyoacán,2015,Hombres,297522
Coyoacán,2015,Mujeres,334990
Cuajimalpa de Morelos,2015,Hombres,93271
Cuajimalpa de Morelos,2015,Mujeres,101580
Cuauhtémoc,2015,Hombres,257526
Cuauhtémoc,2015,Mujeres,286118
Gustavo A. Madero,2015,Hombres,576478
Gustavo A. Madero,2015,Mujeres,622151
Iztacalco,2015,Hombres,188903
Iztacalco,2015,Mujeres,208913
Iztapalapa,2015,Hombres,899221
Iztapalapa,2015,Mujeres,949733
La Magdalena Contreras,2015,Hombres,117649
La Magdalena Contreras,2015,Mujeres,127136
Miguel Hidalgo,2015,Hombres,173003
Miguel Hidalgo,2015,Mujeres,201776
Milpa Alta,2015,Hombres,66188
Milpa Alta,2015,Mujeres,69084
Tláhuac,2015,Hombres,176935
Tláhuac,2015,Mujeres,189739
Tlalpan,2015,Hombres,323351
Tlalpan,2015,Mujeres,350568
Venustiano Carranza,2015,Hombres,208090
Venustiano Carranza,2015,Mujeres,232502
Xochimilco,2015,Hombres,207257
Xochimilco,2015,Mujeres,214436
Álvaro Obregón,2016,Hombres,359325
Álvaro Obregón,2016,Mujeres,394135
Azcapotzalco,2016,Hombres,196019
Azcapotzalco,2016,Mujeres,219370
Benito Juárez,2016,Hombres,192168
Benito Juárez,2016,Mujeres,226700
Coyoacán,2016,Hombres,296282
Coyoacán,2016,Mujeres,333767
Cuajimalpa de Morelos,2016,Hombres,94001
Cuajimalpa de Morelos,2016,Mujeres,102328
Cuauhtémoc,2016,Hombres,258136
Cuauhtémoc,2016,Mujeres,286469
Gustavo A. Madero,2016,Hombres,573884
Gustavo A. Madero,2016,Mujeres,619763
Iztacalco,2016,Hombres,188320
Iztacalco,2016,Mujeres,208474
Iztapalapa,2016,Hombres,895968
Iztapalapa,2016,Mujeres,947347
La Magdalena Contreras,2016,Hombres,117806
La Magdalena Contreras,2016,Mujeres,127297
Miguel Hidalgo,2016,Hombres,173527
Miguel Hidalgo,2016,Mujeres,202198
Milpa Alta,2016,Hombres,66775
Milpa Alta,2016,Mujeres,69747
Tláhuac,2016,Hombres,177178
Tláhuac,2016,Mujeres,190194
Tlalpan,2016,Hombres,324463
Tlalpan,2016,Mujeres,352134
Venustiano Carranza,2016,Hombres,207072
Venustiano Carranza,2016,Mujeres,231598
Xochimilco,2016,Hombres,207077
Xochimilco,2016,Mujeres,214468
Álvaro Obregón,2017,Hombres,359860
Álvaro Obregón,2017,Mujeres,394721
Azcapotzalco,2017,Hombres,194905
Azcapotzalco,2017,Mujeres,218452
Benito Juárez,2017,Hombres,194276
Benito Juárez,2017,Mujeres,228606
Coyoacán,2017,Hombres,295149
Coyoacán,2017,Mujeres,332626
Cuajimalpa de Morelos,2017,Hombres,94669
Cuajimalpa de Morelos,2017,Mujeres,102960
Cuauhtémoc,2017,Hombres,258810
Cuauhtémoc,2017,Mujeres,286865
Gustavo A. Madero,2017,Hombres,571565
Gustavo A. Madero,2017,Mujeres,617565
Iztacalco,2017,Hombres,187841
Iztacalco,2017,Mujeres,208098
Iztapalapa,2017,Hombres,892770
Iztapalapa,2017,Mujeres,944726
La Magdalena Contreras,2017,Hombres,117946
La Magdalena Contreras,2017,Mujeres,127409
Miguel Hidalgo,2017,Hombres,174098
Miguel Hidalgo,2017,Mujeres,202643
Milpa Alta,2017,Hombres,67291
Milpa Alta,2017,Mujeres,70312
Tláhuac,2017,Hombres,177329
Tláhuac,2017,Mujeres,190481
Tlalpan,2017,Hombres,325445
Tlalpan,2017,Mujeres,353458
Venustiano Carranza,2017,Hombres,206199
Venustiano Carranza,2017,Mujeres,230823
Xochimilco,2017,Hombres,206819
Xochimilco,2017,Mujeres,214369
Álvaro Obregón,2018,Hombres,360195
Álvaro Obregón,2018,Mujeres,395104
Azcapotzalco,2018,Hombres,193871
Azcapotzalco,2018,Mujeres,217632
Benito Juárez,2018,Hombres,196261
Benito Juárez,2018,Mujeres,230468
Coyoacán,2018,Hombres,294059
Coyoacán,2018,Mujeres,331575
Cuajimalpa de Morelos,2018,Hombres,95205
Cuajimalpa de Morelos,2018,Mujeres,103442
Cuauhtémoc,2018,Hombres,259430
Cuauhtémoc,2018,Mujeres,287283
Gustavo A. Madero,2018,Hombres,569313
Gustavo A. Madero,2018,Mujeres,615488
Iztacalco,2018,Hombres,187390
Iztacalco,2018,Mujeres,207763
Iztapalapa,2018,Hombres,889177
Iztapalapa,2018,Mujeres,941658
La Magdalena Contreras,2018,Hombres,118002
La Magdalena Contreras,2018,Mujeres,127443
Miguel Hidalgo,2018,Hombres,174638
Miguel Hidalgo,2018,Mujeres,203099
Milpa Alta,2018,Hombres,67689
Milpa Alta,2018,Mujeres,70752
Tláhuac,2018,Hombres,177274
Tláhuac,2018,Mujeres,190540
Tlalpan,2018,Hombres,326142
Tlalpan,2018,Mujeres,354475
Venustiano Carranza,2018,Hombres,205407
Venustiano Carranza,2018,Mujeres,230149
Xochimilco,2018,Hombres,206375
Xochimilco,2018,Mujeres,214096
Álvaro Obregón,2019,Hombres,360335
Álvaro Obregón,2019,Mujeres,395285
Azcapotzalco,2019,Hombres,192944
Azcapotzalco,2019,Mujeres,216916
Benito Juárez,2019,Hombres,198095
Benito Juárez,2019,Mujeres,232259
Coyoacán,2019,Hombres,293039
Coyoacán,2019,Mujeres,330644
Cuajimalpa de Morelos,2019,Hombres,95608
Cuajimalpa de Morelos,2019,Mujeres,103772
Cuauhtémoc,2019,Hombres,259989
Cuauhtémoc,2019,Mujeres,287714
Gustavo A. Madero,2019,Hombres,567165
Gustavo A. Madero,2019,Mujeres,613564
Iztacalco,2019,Hombres,186979
Iztacalco,2019,Mujeres,207469
Iztapalapa,2019,Hombres,885252
Iztapalapa,2019,Mujeres,938216
La Magdalena Contreras,2019,Hombres,117979
La Magdalena Contreras,2019,Mujeres,127396
Miguel Hidalgo,2019,Hombres,175144
Miguel Hidalgo,2019,Mujeres,203564
Milpa Alta,2019,Hombres,67969
Milpa Alta,2019,Mujeres,71066
Tláhuac,2019,Hombres,177029
Tláhuac,2019,Mujeres,190377
Tlalpan,2019,Hombres,326554
Tlalpan,2019,Mujeres,355174
Venustiano Carranza,2019,Hombres,204702
Venustiano Carranza,2019,Mujeres,229588
Xochimilco,2019,Hombres,205763
Xochimilco,2019,Mujeres,213663
Álvaro Obregón,2020,Hombres,360280
Álvaro Obregón,2020,Mujeres,395257
Azcapotzalco,2020,Hombres,192126
Azcapotzalco,2020,Mujeres,216315
Benito Juárez,2020,Hombres,199754
Benito Juárez,2020,Mujeres,233954
Coyoacán,2020,Hombres,292111
Coyoacán,2020,Mujeres,329841
Cuajimalpa de Morelos,2020,Hombres,95869
Cuajimalpa de Morelos,2020,Mujeres,103940
Cuauhtémoc,2020,Hombres,260463
Cuauhtémoc,2020,Mujeres,288143
Gustavo A. Madero,2020,Hombres,565150
Gustavo A. Madero,2020,Mujeres,611817
Iztacalco,2020,Hombres,186604
Iztacalco,2020,Mujeres,207217
Iztapalapa,2020,Hombres,881091
Iztapalapa,2020,Mujeres,934460
La Magdalena Contreras,2020,Hombres,117879
La Magdalena Contreras,2020,Mujeres,127268
Miguel Hidalgo,2020,Hombres,175605
Miguel Hidalgo,2020,Mujeres,204019
Milpa Alta,2020,Hombres,68127
Milpa Alta,2020,Mujeres,71244
Tláhuac,2020,Hombres,176595
Tláhuac,2020,Mujeres,189991
Tlalpan,2020,Hombres,326680
Tlalpan,2020,Mujeres,355554
Venustiano Carranza,2020,Hombres,204087
Venustiano Carranza,2020,Mujeres,229144
Xochimilco,2020,Hombres,204989
Xochimilco,2020,Mujeres,213071
Álvaro Obregón,2021,Hombres,360028
Álvaro Obregón,2021,Mujeres,395018
Azcapotzalco,2021,Hombres,191438
Azcapotzalco,2021,Mujeres,215842
Benito Juárez,2021,Hombres,201203
Benito Juárez,2021,Mujeres,235534
Coyoacán,2021,Hombres,291287
Coyoacán,2021,Mujeres,329199
Cuajimalpa de Morelos,2021,Hombres,95983
Cuajimalpa de Morelos,2021,Mujeres,103943
Cuauhtémoc,2021,Hombres,260840
Cuauhtémoc,2021,Mujeres,288556
Gustavo A. Madero,2021,Hombres,563297
Gustavo A. Madero,2021,Mujeres,610258
Iztacalco,2021,Hombres,186270
Iztacalco,2021,Mujeres,207005
Iztapalapa,2021,Hombres,876717
Iztapalapa,2021,Mujeres,930416
La Magdalena Contreras,2021,Hombres,117705
La Magdalena Contreras,2021,Mujeres,127064
Miguel Hidalgo,2021,Hombres,176001
Miguel Hidalgo,2021,Mujeres,204464
Milpa Alta,2021,Hombres,68160
Milpa Alta,2021,Mujeres,71281
Tláhuac,2021,Hombres,175992
Tláhuac,2021,Mujeres,189394
Tlalpan,2021,Hombres,326516
Tlalpan,2021,Mujeres,355605
Venustiano Carranza,2021,Hombres,203571
Venustiano Carranza,2021,Mujeres,228821
Xochimilco,2021,Hombres,204078
Xochimilco,2021,Mujeres,212341
Álvaro Obregón,2022,Hombres,359576
Álvaro Obregón,2022,Mujeres,394565
Azcapotzalco,2022,Hombres,190887
Azcapotzalco,2022,Mujeres,215500
Benito Juárez,2022,Hombres,202416
Benito Juárez,2022,Mujeres,236972
Coyoacán,2022,Hombres,290587
Coyoacán,2022,Mujeres,328726
Cuajimalpa de Morelos,2022,Hombres,95949
Cuajimalpa de Morelos,2022,Mujeres,103769
Cuauhtémoc,2022,Hombres,261094
