gpo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
12-14 años,430132,423652,415712,408161,400854,393673,386738,380019,373087,365541,357583,349622,341892,334280,326514,318434,310082,301604,294659,289625,285639,281249,276125,271184,266378,261688
15-19 años,757356,750836,738727,725091,710735,696311,682880,670521,658948,647982,637120,625918,614374,602500,590167,577564,564974,552376,539603,526594,513277,501186,490852,481494,473147,465876
20-24 años,770487,773604,772336,769132,763890,756023,745155,731775,717326,702714,688795,676047,664284,653274,642849,632509,621802,610718,599272,587352,575154,562981,550828,538531,526031,513246
25-29 años,753164,758308,760511,762177,763198,763258,761998,758902,754175,747718,739273,728554,715926,702272,688452,675288,663253,652172,641825,632040,622327,612230,601732,590858,579510,567887
30-34 años,733712,732603,730361,729386,729631,730447,731738,733072,733963,734078,733341,731838,729241,725117,719337,711647,701772,690088,677433,664620,652427,641288,631040,621463,612397,603375
35-39 años,718992,720768,717235,711790,705521,699031,694690,693108,692922,693799,695277,696894,698392,699526,699952,699601,698538,696458,692944,687861,680951,671939,661176,649466,637578,626258
40-44 años,660478,669266,674593,678455,680459,680020,678807,677104,673892,669985,666155,663293,661937,661957,663021,664678,666488,668203,669587,670306,670289,669600,667938,664903,660356,654047
45-49 años,593061,601975,607991,613660,619173,624209,630096,636778,642558,646967,649668,650289,648841,645979,642471,639042,636537,635476,635730,636990,638822,640804,642696,644270,645218,645473
50-54 años,511186,524846,535689,545313,553841,561199,567942,574529,581103,587837,594729,601638,608215,613976,618448,621298,622161,621044,618567,615461,612427,610278,609500,609983,611430,613432
55-59 años,409402,425084,439913,454687,469249,483165,495259,505357,514355,522360,529577,536267,542707,549178,555823,562635,569468,575989,581740,586273,589262,590365,589593,587528,584870,582280
60-64 años,316866,328621,341390,355170,369881,385549,400078,412757,425109,437006,448272,458759,468312,476895,484595,491585,498099,504403,510737,517250,523926,530634,537063,542775,547347,550480
65-69 años,241890,250978,261017,271792,283224,294938,305674,315734,326320,337342,348931,360781,372404,383777,394775,405235,415019,423979,432066,439362,446043,452304,458394,464541,470854,477327
70-74 años,180146,186894,194202,201768,209655,217744,225466,232946,240744,248781,256833,265122,274025,283434,293256,303603,314195,324620,334848,344778,354252,363150,371352,378806,385591,391858
75-79 años,129423,133313,137453,141824,146428,151195,156187,161388,166750,172341,178129,184115,190388,196954,203742,210575,217628,225229,233277,241696,250561,259639,268609,277450,286057,294313
80-84 años,84098,87032,89843,92540,95081,97375,99811,102597,105603,108888,112474,116334,120355,124517,128871,133399,138105,143053,148242,153623,159060,164693,170773,177221,183983,191095
85 años y más,71830,74515,77343,80243,83142,85905,88733,91714,94685,97668,100704,103828,107091,110525,114183,118095,122277,126663,131257,136134,141279,146703,152428,158437,164735,171232
