cve_ent,cve_mun,nom_mun,2010,2020
32,1,Apozol,1697,1812
32,2,Apulco,1218,1345
32,3,Atolinga,842,766
32,4,Benito Juárez,1156,1273
32,5,Calera,9888,11991
32,6,Cañitas de Felipe Pescador,2080,2227
32,7,Concepción del Oro,3319,3245
32,8,Cuauhtémoc,2767,3230
32,9,Chalchihuites,2666,2675
32,10,Fresnillo,52883,64037
32,11,Trinidad García de la Cadena,905,1080
32,12,Genaro Codina,1818,2054
32,13,General Enrique Estrada,1517,1813
32,14,General Francisco R. Murguía,5429,5404
32,15,El Plateado de Joaquín Amaro,509,531
32,16,General Pánfilo Natera,5366,6040
32,17,Guadalupe,41767,60452
32,18,Huanusco,1192,1357
32,19,Jalpa,6164,7092
32,20,Jerez,16007,17849
32,21,Jiménez del Teul,1042,1080
32,22,Juan Aldama,5099,5395
32,23,Juchipila,3666,3888
32,24,Loreto,10972,12996
32,25,Luis Moya,2906,3267
32,26,Mazapil,4291,4645
32,27,Melchor Ocampo,635,721
32,28,Mezquital del Oro,684,735
32,29,Miguel Auza,5078,5878
32,30,Momax,749,791
32,31,Monte Escobedo,2619,2785
32,32,Morelos,2981,3614
32,33,Moyahua de Estrada,1383,1458
32,34,Nochistlán de Mejía,7528,8465
32,35,Noria de Ángeles,3630,4126
32,36,Ojocaliente,9440,10889
32,37,Pánuco,4284,4742
32,38,Pinos,16717,19270
32,39,Río Grande,15968,17710
32,40,Sain Alto,4922,5504
32,41,El Salvador,713,733
32,42,Sombrerete,15662,17191
32,43,Susticacán,365,404
32,44,Tabasco,4026,4537
32,45,Tepechitlán,2319,2553
32,46,Tepetongo,2065,2066
32,47,Teúl de González Ortega,1555,1655
32,48,Tlaltenango de Sánchez Román,6759,7989
32,49,Valparaíso,8677,9089
32,50,Vetagrande,2240,2642
32,51,Villa de Cos,8642,9185
32,52,Villa García,4230,4936
32,53,Villa González Ortega,3031,3492
32,54,Villa Hidalgo,4290,4951
32,55,Villanueva,7861,9045
32,56,Zacatecas,36234,42394
32,57,Trancoso,3699,4669
32,58,Santa María de la Paz,761,860
